"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
44,"Conduct Unbecoming (Off-duty)",7,2,1,0,0,0.428571428571429
44,"First Amendment and Illegal Arrest",16,0,0,0,0,0
44,"Operation/Personnel Violations",103,3,4,0,1,0.0686274509803922
44,"Search-Related",28,0,0,0,0,0
44,"Supervisory Responsibilities",1,0,0,0,0,0
44,"Traffic",7,0,0,0,1,0
44,"Verbal Abuse",11,1,0,0,4,0.142857142857143
45,"Alcohol Abuse",1,0,0,1,0,NA
45,"Arrest/Lock-up Procedures",62,3,2,0,9,0.0943396226415094
45,"Conduct Unbecoming (Off-duty)",16,1,0,0,4,0.0833333333333333
45,"Criminal Misconduct",5,0,1,0,1,0.25
45,"Drug/Substance Abuse",3,0,0,1,1,0
45,"First Amendment and Illegal Arrest",64,0,0,0,4,0
45,"Operation/Personnel Violations",100,7,1,1,2,0.0824742268041237
45,"Search-Related",9,1,0,0,0,0.111111111111111
45,"Supervisory Responsibilities",3,0,0,0,0,0
45,"Traffic",10,0,0,2,0,0
45,"Verbal Abuse",3,0,0,0,0,0
46,"Alcohol Abuse",1,1,0,0,0,1
46,"Arrest/Lock-up Procedures",63,2,0,0,1,0.032258064516129
46,"Bribery / Official Corruption",1,0,0,0,0,0
46,"Conduct Unbecoming (Off-duty)",4,2,0,0,0,0.5
46,"First Amendment and Illegal Arrest",85,0,0,0,8,0
46,"Operation/Personnel Violations",125,3,3,0,14,0.0540540540540541
46,"Search-Related",23,1,0,0,1,0.0454545454545455
46,"Supervisory Responsibilities",1,0,0,0,0,0
